t,HMF,DFF,HMFCA,FFCA,FDCA
0,4898.419372,5.341611908,0.764916425,0.499052636,0.336996644
1,4698.109276,28.47153011,11.8769462,5.367392209,0.289485459
2,4591.292999,46.97049752,22.02222699,9.905864411,0.603747204
3,4480.779109,56.1898887,29.67232184,13.49634918,0.66283557
4,4379.917815999999,79.17304546,36.30219407,17.53519109,0.780201342
5,4306.482723,90.92787984,43.54196643,22.1028005,0.9182046979999999
6,4183.607803,102.8797908,48.3089946,26.24136975,1.337947427
7,4045.8460119999995,113.5818157,53.39196106,30.4762697,1.483277405
8,3954.199664,124.81630679999999,58.49668922,35.10219973,1.6291946309999998
9,3856.9649240000003,162.1862679,62.81992913,40.41917371,1.7724832209999999
10,3752.133174,141.1866434,67.02233437,44.56592264,1.939289709
11,3665.243193,146.1089983,70.87347435,48.77230926,2.257410515
12,3565.420693,180.55687269999999,75.37957694,55.33002911,1.7099832209999999
13,3407.6505880000004,175.1394395,78.70725509,59.16953186,2.58364094
14,3318.2287109999997,191.18739440000002,82.9671785,66.67974491,2.952404922
15,3181.305911,171.5942604,85.72214467,69.82064790000001,3.4054250560000003
25,2073.7760828181817,170.80132640000002,102.4163388790909,119.90622571818182,5.346115517818181
27,1892.7476255000001,166.90997720000001,105.99040769999999,130.22406304999998,6.736017897
29,1744.7594365,159.513665,108.5328394,139.49237490000002,8.8290687915
31,1581.747887,148.76491885,108.74728875,146.76156480000003,9.18371085
33,1427.3903805,137.46448974999998,108.072712,153.19794125,8.738269016
49,619.1236578437499,71.148275115625,88.966473834375,169.07782534999998,13.4252202146875
51,538.3869387,63.539949039999996,85.159633485,169.0666274,15.47109899
53,480.54567605,57.11909615,81.35326961999999,168.14864365,17.355285235
55,429.5348834,51.389566849999994,78.32667597,167.64747675,17.970036354999998
57,381.56761930000005,45.02586831,74.266169155,162.84850269999998,18.517673379999998
59,339.9373870333333,39.12519333,69.94445637833333,156.4593019,19.230909771666667
61,303.3600259,34.50793885,65.881903435,152.3895975,20.503020135
63,266.78266476666664,29.890684370000002,61.81935049166667,148.3198931,21.775130498333333
65,248.49398419999997,27.58205713,59.78807402,146.2850409,22.41118568
