t,Q
0.0,0.0
0.0213404468156052,0.0
0.0426808936312104,0.05668637265536459
0.0640213404468156,0.13541644040098422
0.0853617872624208,0.2143693080716306
0.10670223407802601,0.29285074742195155
0.1280426808936312,0.37023990230834825
0.1493831277092364,0.44698628661331063
0.1707235745248416,0.5234199105482493
0.1920640213404468,0.5997212342944943
0.21340446815605202,0.6757405852596309
0.2347449149716572,0.7519219134632784
0.2560853617872624,0.8280272404284911
0.2774258086028676,0.9042281803491584
0.2987662554184728,0.9803773266022383
0.320106702234078,1.0561985538823202
0.3414471490496832,1.1321261290605704
0.3627875958652884,1.2081158467144868
0.3841280426808936,1.2840363193105484
0.40546848949649883,1.3598758929877695
0.42680893631210404,1.4355373639185125
0.4481493831277092,1.5115492343753265
0.4694898299433144,1.5874042516991895
0.4908302767589196,1.6633281338505725
0.5121707235745248,1.7393111007701292
0.53351117039013,1.8154574512617514
0.5548516172057352,1.8916697033672696
0.5761920640213404,1.9681830231866706
0.5975325108369456,2.0448447716175226
0.6188729576525508,2.1215887805506815
0.640213404468156,2.198369378418447
0.6615538512837612,2.275413174859662
0.6828942980993664,2.3524615343385626
0.7042347449149716,2.4293995531276757
0.7255751917305768,2.5064484275247567
0.746915638546182,2.5835926192369505
0.7682560853617872,2.660830196751606
0.7895965321773925,2.7380847351483952
0.8109369789929977,2.8154643866085074
0.8322774258086029,2.892909115561312
0.8536178726242081,2.9703889858611565
0.8749583194398132,3.0478265428323623
0.8962987662554184,3.1254447746076535
0.9176392130710236,3.203042470406242
0.9389796598866288,3.2806945271023307
0.960320106702234,3.3583841167220165
0.9816605535178392,3.4360598880918953
1.0030010003334444,3.5136613314782954
1.0243414471490495,3.591380442072728
1.0456818939646548,3.6693153765337483
1.06702234078026,3.7471233319886554
1.0883627875958652,3.8248694122956137
1.1097032344114703,3.9013588443871474
1.1310436812270757,3.962884293282039
1.1523841280426808,3.9982165772326823
1.173724574858286,4.08316334521854
1.1950650216738912,4.170678284579442
1.2164054684894965,4.258850229627908
1.2377459153051016,4.346577280264494
1.259086362120707,4.43403822479488
1.280426808936312,4.521108878585897
1.3017672557519173,4.6079782687701085
1.3231077025675224,4.694744748838429
1.3444481493831277,4.781401454208669
1.3657885961987328,4.86814472885053
1.387129043014338,4.954786374955635
1.4084694898299432,5.0412609963142785
1.4298099366455483,5.127740356705943
1.4511503834611537,5.214302107821935
1.4724908302767588,5.300895510455232
1.493831277092364,5.387413906090727
1.5151717239079692,5.473899066646098
1.5365121707235745,5.5603869747301635
1.5578526175391796,5.6467579254278455
1.579193064354785,5.732681874397457
1.60053351117039,5.818520226830843
1.6218739579859953,5.904326000342598
1.6432144048016004,5.990429835896701
1.6645548516172057,6.076493667522584
1.6858952984328108,6.162300983577232
1.7072357452484161,6.248193709941585
1.7285761920640212,6.3338806364282085
1.7499166388796263,6.4193218014622255
1.7712570856952317,6.504719248646754
1.7925975325108368,6.5902618603099405
1.813937979326442,6.675621548278131
1.8352784261420472,6.760634993939668
1.8566188729576525,6.845734484757268
1.8779593197732576,6.931004586054966
1.899299766588863,7.016010406203182
1.920640213404468,7.101041527253427
1.9419806602200733,7.186321598825712
1.9633211070356784,7.271584528541666
1.9846615538512837,7.3567308343075375
2.006002000666889,7.441797546142936
2.027342447482494,7.526881526069362
2.048682894298099,7.6117806847732705
2.0700233411137043,7.6968026378284495
2.0913637879293097,7.781704895522913
2.112704234744915,7.866571708070862
2.13404468156052,7.9512510727691925
2.155385128376125,8.03605493890215
2.1767255751917305,8.120672440307448
2.198066022007336,8.20552024662167
2.2194064688229407,8.290406202508914
2.240746915638546,8.374956983143223
2.2620873624541513,8.459521679383766
2.2834278092697566,8.543959001136635
2.3047682560853615,8.628413809988826
2.326108702900967,8.71307270319136
2.347449149716572,8.797326734335854
2.3687895965321775,8.88131491716689
2.3901300433477823,8.965447049304904
2.4114704901633877,9.049620079095506
2.432810936978993,9.13383597147808
2.454151383794598,9.217878389245644
2.475491830610203,9.302037627854668
2.4968322774258085,9.38600034441713
2.518172724241414,9.469663931878495
2.5395131710570187,9.55319188466744
2.560853617872624,9.636692907244141
2.5821940646882293,9.719839932252352
2.6035345115038346,9.803100045862145
2.6248749583194395,9.88671573878402
2.646215405135045,9.970201713388484
2.66755585195065,10.05323594723951
2.6888962987662555,10.136530360561261
2.7102367455818603,10.219961926020433
2.7315771923974657,10.303187894521063
2.752917639213071,10.386242116373554
2.774258086028676,10.469183952810642
2.795598532844281,10.551891732547636
2.8169389796598865,10.634510977917552
2.838279426475492,10.717117439391414
2.8596198732910967,10.799821558975687
2.880960320106702,10.882481444899112
2.9023007669223073,10.965058292563462
2.9236412137379126,11.047510302181196
2.9449816605535175,11.1298202696273
2.966322107369123,11.21207620683491
2.987662554184728,11.294120556371826
3.0090030010003335,11.375854073618308
3.0303434478159383,11.457270860188908
3.0516838946315437,11.53853577245601
3.073024341447149,11.619718518969691
3.094364788262754,11.700776398921006
3.115705235078359,11.781711296071691
3.1370456818939645,11.862551021280668
3.15838612870957,11.943256734101501
3.1797265755251747,12.023886753197653
3.20106702234078,12.104435887837763
3.2224074691563853,12.184808848482028
3.2437479159719906,12.265129207298656
3.2650883627875955,12.345473411234568
3.286428809603201,12.425708233961355
3.307769256418806,12.505973353764512
3.3291097032344115,12.586087144619194
3.3504501500500163,12.666134402408998
3.3717905968656217,12.746114512970097
3.393131043681227,12.826047611255335
3.4144714904968323,12.905763267312539
3.435811937312437,12.98547139368438
3.4571523841280425,13.065001318042935
3.478492830943648,13.144607298865482
