t,HMF,DFF,HMFCA,FFCA,FDCA
0,4807.982792,5.972428591,0.5935788679999999,0.245783077,0.0
1,4667.5126789999995,27.47815475,6.141701564,4.953625399,0.150643177
2,4617.7158119999995,72.58586563,11.59912667,8.84978511,0.222734899
3,4492.913769,84.24020384,16.947743300000003,12.62528305,0.330201342
4,4388.398502,82.78492691,22.11460682,16.66509543,0.396001119
5,4288.937502000001,92.12562693,26.94387773,20.32556957,0.486828859
6,4169.307949,110.6188011,31.65245714,24.41104025,0.590268456
7,4036.8027859999997,122.11621299999999,35.98539676,28.49302186,0.679670022
8,3960.8416340000003,133.6436905,40.23705215,33.04748371,0.701258389
9,3853.1909909999995,144.5140941,45.04942911,37.51873931,0.985738255
10,3738.8599159999994,151.5603594,48.90311035,41.79278155,0.859256152
11,3619.243826,166.19525280000002,52.79294177,46.32570821,1.203159955
12,3505.7240439999996,188.6203299,55.8542897,49.83980313,1.341051454
13,3365.698549,174.95523669999997,60.03178353,55.23922085,1.096168904
14,3265.6994579999996,180.2390237,63.15709224,60.13200702,1.7352348990000002
15,3122.283059,180.2463457,65.89144207,63.81732058,1.731627517
25,2078.323697,193.4375754,85.13858764,108.34648090000002,3.583752796
27,1879.5514896666666,181.88483300000001,86.54157271333334,114.31742843333335,4.407578299333333
29,1706.087222,176.62790665,87.8103547,120.0951754,5.042645413500001
31,1551.55618,163.6670243,88.73034109999999,126.3870327,5.65810962
33,1393.313372,159.031514,87.29546512,128.1496372,6.10086689
49,555.5947248,76.98538286,71.22867676,136.344979,11.44765101
51,498.5937612,70.546935765,68.30471742,135.14890939999998,10.7878915
53,441.5927976,64.10848867,65.38075808,133.9528398,10.12813199
55,385.8566119,53.83575164,61.4038083,128.0627571,11.92525168
57,341.9597753,47.40421081,58.36497369,125.71863300000001,12.38548658
59,301.1861182,41.67324661,54.810837899999996,120.77933359999999,12.60044743
61,275.73687396,38.471283354,52.468033932,117.77436112,12.769563761999999
63,250.28762971999998,35.269320098,50.125229964,114.76938863999999,12.938680093999999
65,228.16117119999998,32.386265251000005,47.667758328,111.57779014399999,13.202802018
