t,Q
0.0,0.0
0.0213404468156052,0.0
0.0426808936312104,0.0579152953077231
0.0640213404468156,0.13917153189321702
0.0853617872624208,0.2207826808165443
0.10670223407802601,0.3024237706757054
0.1280426808936312,0.3840505805119118
0.1493831277092364,0.46506572784003664
0.1707235745248416,0.5457786875707844
0.1920640213404468,0.6264160228442108
0.21340446815605202,0.7067109532517643
0.2347449149716572,0.78721576125132
0.2560853617872624,0.8673920826519781
0.2774258086028676,0.9472260588167534
0.2987662554184728,1.027011266723624
0.320106702234078,1.1065044150236125
0.3414471490496832,1.1858038741978272
0.3627875958652884,1.264961104712372
0.3841280426808936,1.343968890900607
0.40546848949649883,1.4229360363958845
0.42680893631210404,1.501982976711213
0.4481493831277092,1.5807915113122706
0.4694898299433144,1.6595851299450275
0.4908302767589196,1.7385384401725543
0.5121707235745248,1.8175671282622068
0.53351117039013,1.896647533370724
0.5548516172057352,1.9760003265275976
0.5761920640213404,2.0552131924661454
0.5975325108369456,2.1344141462912365
0.6188729576525508,2.2136920050657873
0.640213404468156,2.2930271678380016
0.6615538512837612,2.3725463018655524
0.6828942980993664,2.452167977593369
0.7042347449149716,2.5317211975759566
0.7255751917305768,2.6113152217107847
0.746915638546182,2.691077761384835
0.7682560853617872,2.770873356293571
0.7895965321773925,2.850577539270129
0.8109369789929977,2.930400874076235
0.8322774258086029,3.010397383748832
0.8536178726242081,3.0901848887245964
0.8749583194398132,3.1706302835975215
0.8962987662554184,3.2511009140177447
0.9176392130710236,3.3315194590810098
0.9389796598866288,3.4119194900685645
0.960320106702234,3.4923816040889126
0.9816605535178392,3.5731407090955103
1.0030010003334444,3.654016847128486
1.0243414471490495,3.734697694461096
1.0456818939646548,3.81542565114673
1.06702234078026,3.896044046997632
1.0883627875958652,3.9767064251261917
1.1097032344114703,4.057017297548159
1.1310436812270757,4.13758465913219
1.1523841280426808,4.2181880939278695
1.173724574858286,4.29887992923132
1.1950650216738912,4.379344710614349
1.2164054684894965,4.459859422130067
1.2377459153051016,4.540503317518777
1.259086362120707,4.621071422490047
1.280426808936312,4.701391510437374
1.3017672557519173,4.78167121010294
1.3231077025675224,4.8622187442382145
1.3444481493831277,4.942519257202793
1.3657885961987328,5.023073952502125
1.387129043014338,5.103463974463276
1.4084694898299432,5.1839302636391285
1.4298099366455483,5.264314077414197
1.4511503834611537,5.3444471666291085
1.4724908302767588,5.424772406689112
1.493831277092364,5.504898952850715
1.5151717239079692,5.585248505491708
1.5365121707235745,5.66516630539592
1.5578526175391796,5.745194715173523
1.579193064354785,5.825297768055682
1.60053351117039,5.905660737275167
1.6218739579859953,5.9857867101624365
1.6432144048016004,6.0658846577999075
1.6645548516172057,6.145972412931953
1.6858952984328108,6.226065508228119
1.7072357452484161,6.305856682969995
1.7285761920640212,6.385646067812882
1.7499166388796263,6.465364212285195
1.7712570856952317,6.544868225824941
1.7925975325108368,6.624220767378395
1.813937979326442,6.703542300352973
1.8352784261420472,6.782653514183905
1.8566188729576525,6.861802464260484
1.8779593197732576,6.940968910493732
1.899299766588863,7.019998698589285
1.920640213404468,7.099200781516189
1.9419806602200733,7.178506555094015
1.9633211070356784,7.2577952885981825
1.9846615538512837,7.337005294073728
2.006002000666889,7.416001196687007
2.027342447482494,7.494711664427813
2.048682894298099,7.573336689276022
2.0700233411137043,7.651827355136689
2.0913637879293097,7.730276853750308
2.112704234744915,7.808669389399377
2.13404468156052,7.886955278605644
2.155385128376125,7.965234120739751
2.1767255751917305,8.043344135705254
2.198066022007336,8.12139519499872
2.2194064688229407,8.19936695443229
2.240746915638546,8.277209929013488
2.2620873624541513,8.35496280857719
2.2834278092697566,8.432698353013988
2.3047682560853615,8.510569234463892
2.326108702900967,8.588255246294171
2.347449149716572,8.665691069142518
2.3687895965321775,8.743217479725041
2.3901300433477823,8.820496577366491
2.4114704901633877,8.89780054140523
2.432810936978993,8.974930145330916
2.454151383794598,9.051957040618536
2.475491830610203,9.129084909534535
2.4968322774258085,9.206106619840305
2.518172724241414,9.283048803258074
2.5395131710570187,9.36014603373323
2.560853617872624,9.436976195044327
2.5821940646882293,9.513655100851397
2.6035345115038346,9.590523682823589
2.6248749583194395,9.667584790150622
2.646215405135045,9.744225637663824
2.66755585195065,9.820833716942657
2.6888962987662555,9.89728028188271
2.7102367455818603,9.973866187062304
2.7315771923974657,10.050299874207482
2.752917639213071,10.126691274555355
2.774258086028676,10.203026488440154
2.795598532844281,10.279480615483001
2.8169389796598865,10.355654474870233
2.838279426475492,10.43169371647462
2.8596198732910967,10.50794485807425
2.880960320106702,10.58395007741986
2.9023007669223073,10.659851330025795
2.9236412137379126,10.735645128292315
2.9449816605535175,10.811410024987437
2.966322107369123,10.887234708570888
2.987662554184728,10.962946295698398
3.0090030010003335,11.03851042837781
3.0303434478159383,11.11404619653328
3.0516838946315437,11.189661977864391
3.073024341447149,11.265096286516934
3.094364788262754,11.340763312349646
3.115705235078359,11.416132099294707
3.1370456818939645,11.49096591947786
3.15838612870957,11.565779296118638
3.1797265755251747,11.640674538672595
3.20106702234078,11.715384179800449
3.2224074691563853,11.790186260938068
3.2437479159719906,11.865139377999087
3.2650883627875955,11.93976827996334
3.286428809603201,12.014402344065958
3.307769256418806,12.089172454761549
3.3291097032344115,12.163546027117976
3.3504501500500163,12.23787836191393
3.3717905968656217,12.312086077075929
3.393131043681227,12.386007111128244
3.4144714904968323,12.460026141923437
3.435811937312437,12.53427765717122
3.4571523841280425,12.608296934766603
3.478492830943648,12.682218959892278
3.4998332777592527,12.756167334470994
